shortname;fullname;type [options...] \| (min/max);uom;writeable;discovery entityid
reset;reset;cmd [-\|maintenance\|error\|history\|message]; ;TRUE;sensor.boiler_reset
heatingoff;force heating off;boolean; ;TRUE;switch.boiler_heatingoff
heatingactive;heating active;boolean; ;FALSE;binary_sensor.boiler_heatingactive
tapwateractive;tapwater active;boolean; ;FALSE;binary_sensor.boiler_tapwateractive
selflowtemp;selected flow temperature;uint8 (>=0<=90);C;TRUE;number.boiler_selflowtemp
heatingpumpmod;heating pump modulation;uint8 (>=0<=100);%;FALSE;sensor.boiler_heatingpumpmod
outdoortemp;outside temperature;int16 (>=-3199<=3199);C;FALSE;sensor.boiler_outdoortemp
curflowtemp;current flow temperature;uint16 (>=0<=3199);C;FALSE;sensor.boiler_curflowtemp
rettemp;return temperature;uint16 (>=0<=3199);C;FALSE;sensor.boiler_rettemp
switchtemp;mixing switch temperature;uint16 (>=0<=3199);C;FALSE;sensor.boiler_switchtemp
syspress;system pressure;uint8 (>=0<=25);bar;FALSE;sensor.boiler_syspress
boiltemp;actual boiler temperature;uint16 (>=0<=3199);C;FALSE;sensor.boiler_boiltemp
headertemp;low loss header;uint16 (>=0<=3199);C;FALSE;sensor.boiler_headertemp
exhausttemp;exhaust temperature;uint16 (>=0<=3199);C;FALSE;sensor.boiler_exhausttemp
burngas;gas;boolean; ;FALSE;binary_sensor.boiler_burngas
burngas2;gas stage 2;boolean; ;FALSE;binary_sensor.boiler_burngas2
flamecurr;flame current;uint16 (>=0<=3199);µA;FALSE;sensor.boiler_flamecurr
fanwork;fan;boolean; ;FALSE;binary_sensor.boiler_fanwork
ignwork;ignition;boolean; ;FALSE;binary_sensor.boiler_ignwork
oilpreheat;oil preheating;boolean; ;FALSE;binary_sensor.boiler_oilpreheat
burnminpower;burner min power;uint8 (>=0<=100);%;TRUE;number.boiler_burnminpower
burnmaxpower;burner max power;uint8 (>=0<=254);%;TRUE;number.boiler_burnmaxpower
burnminperiod;burner min period;uint8 (>=0<=120);minutes;TRUE;number.boiler_burnminperiod
absburnpow;burner current power (absolute);uint8 (>=0<=100);%;FALSE;sensor.boiler_absburnpow
heatblock;heating block;uint16 (>=0<=3199);C;FALSE;sensor.boiler_heatblock
boilhyston;hysteresis on temperature;int8 (>=-20<=0);C;TRUE;number.boiler_boilhyston
boilhystoff;hysteresis off temperature;int8 (>=0<=20);C;TRUE;number.boiler_boilhystoff
boil2hyston;hysteresis stage 2 on temperature;int8 (>=-20<=0);C;TRUE;number.boiler_boil2hyston
boil2hystoff;hysteresis stage 2 off temperature;int8 (>=0<=20);C;TRUE;number.boiler_boil2hystoff
curveon;heatingcurve on;boolean; ;TRUE;switch.boiler_curveon
curvebase;heatingcurve base;uint8 (>=20<=90);C;TRUE;number.boiler_curvebase
curveend;heatingcurve end;uint8 (>=20<=90);C;TRUE;number.boiler_curveend
summertemp;summer temperature;uint8 (>=0<=45);C;TRUE;number.boiler_summertemp
nofrostmode;nofrost mode;boolean; ;TRUE;switch.boiler_nofrostmode
nofrosttemp;nofrost temperature;uint8 (>=0<=10);C;TRUE;number.boiler_nofrosttemp
heatingactivated;heating activated;boolean; ;TRUE;switch.boiler_heatingactivated
heatingtemp;heating temperature;uint8 (>=0<=90);C;TRUE;number.boiler_heatingtemp
heatingpump;heating pump;boolean; ;FALSE;binary_sensor.boiler_heatingpump
pumpmodmax;boiler pump max power;uint8 (>=0<=100);%;TRUE;number.boiler_pumpmodmax
pumpmodmin;boiler pump min power;uint8 (>=0<=100);%;TRUE;number.boiler_pumpmodmin
pumpmode;boiler pump mode;enum [proportional\|deltaP-1\|deltaP-2\|deltaP-3\|deltaP-4]; ;TRUE;select.boiler_pumpmode
pumpcharacter;boiler pump characteristic;enum [proportional\|150mbar\|200mbar\|250mbar\|300mbar\|350mbar\|400mbar]; ;TRUE;select.boiler_pumpcharacter
pumpdelay;pump delay;uint8 (>=0<=60);minutes;TRUE;number.boiler_pumpdelay
pumpontemp;pump logic temperature;uint8 (>=0<=60);C;TRUE;number.boiler_pumpontemp
selburnpow;burner selected max power;uint8 (>=0<=254);%;TRUE;number.boiler_selburnpow
curburnpow;burner current power;uint8 (>=0<=100);%;FALSE;sensor.boiler_curburnpow
burnstarts;burner starts;uint24 (>=0<=16777213); ;FALSE;sensor.boiler_burnstarts
burnworkmin;total burner operating time;time (>=0<=16777213);minutes;FALSE;sensor.boiler_burnworkmin
burn2workmin;burner stage 2 operating time;time (>=0<=16777213);minutes;FALSE;sensor.boiler_burn2workmin
heatworkmin;total heat operating time;time (>=0<=16777213);minutes;FALSE;sensor.boiler_heatworkmin
heatstarts;burner starts heating;uint24 (>=0<=16777213); ;FALSE;sensor.boiler_heatstarts
ubauptime;total UBA operating time;time (>=0<=16777213);minutes;FALSE;sensor.boiler_ubauptime
lastcode;last error code;string; ;FALSE;sensor.boiler_lastcode
servicecode;service code;string; ;FALSE;sensor.boiler_servicecode
