Telegram_ID,Offset,Variable_Name,Min,Max,Resolution,Unit,Comment
0x0165,0,holiday start year,0,99,1,year,"0=invalid, offset 0-7 to be sent together"
0x0165,1,holiday start month,0,12,1,month,"0=invalid, offset 0-7 to be sent together"
0x0165,2,holiday start day,0,31,1,day,"0=invalid, offset 0-7 to be sent together"
0x0165,3,holiday start time,0,95,1,15 min,"0=invalid, 15 minute steps starting midnight, offset 0-7 to be sent together"
0x0165,4,holiday end year,0,99,1,year,"0=invalid, offset 0-7 to be sent together"
0x0165,5,holiday end month,0,12,1,month,"0=invalid, offset 0-7 to be sent together"
0x0165,6,holiday end day,0,31,1,day,"0=invalid, offset 0-7 to be sent together"
0x0165,7,holiday end time,0,95,1,15 min,"0=invalid, 15 minute steps starting midnight, offset 0-7 to be sent together"
0x0165,8,Holiday heating operation mode,1,4,1,enum,"1=auto, 2=fixed temp, 3=off, 4=eco"
0x0165,9,Holiday fixed heating temp,5,30,1,°C,
0x0165,10,Holiday DHW operation mode,1,5,1,enum,"1=auto, 2=off, 3=eco, 4=low, 5=high"
0x0165,11,Holiday auto thermal desinfection,-1,1,1,bool,"-1=yes, 1=no"
0x0165,12,Holiday ventilation operation mode,-1,5,1,enum,"-1=time, 0=off, 1=min, 2=reduced, 3=normal, 4=max, 5=demand"
0x0165,13,valid for HC1,-1,1,1,bool,"-1=yes, 1=no"
0x0165,14,valid for HC2,-1,1,1,bool,"-1=yes, 1=no"
0x0165,15,valid for HC3,-1,1,1,bool,"-1=yes, 1=no"
0x0165,16,valid for HC4,-1,1,1,bool,"-1=yes, 1=no"
0x0165,17,valid for DHW1,-1,1,1,bool,"-1=yes, 1=no"
0x0165,18,valid for DHW2,-1,1,1,bool,"-1=yes, 1=no"
0x0165,19,valid for vent1,-1,1,1,bool,"-1=yes, 1=no"
0x0165,20,valid for vent2,-1,1,1,bool,"-1=yes, 1=no"
0x0165,21,valid for vent3,-1,1,1,bool,"-1=yes, 1=no"
0x0165,22,valid for vent4,-1,1,1,bool,"-1=yes, 1=no"
0x016F,0,Heating level,0,3,1,enum,"0=undefined, 1=frost, 2=low, 3=high"
